Biz,GBU,Metric,Total Store + Deals,2014-W48,2014-W49,2014-W50,2014-W51,2014-W52,2015-W01,2015-W02,2015-W03,2015-W04,2015-W05,2015-W06,2015-W07,2015-W08,2015-W09,2015-W10,2015-W11,2015-W12,2015-W13,2015-W14,2015-W15,2015-W16,2015-W17,2015-W18,2015-W19,2015-W20,2015-W21,2015-W22,2015-W23,2015-W24,2015-W25,2015-W26,2015-W27,2015-W28,2015-W29,2015-W30,2015-W31,2015-W32,2015-W33,2015-W34,2015-W35,2015-W36,2015-W37,2015-W38,2015-W39,2015-W40,2015-W41,2015-W42,2015-W43,2015-W44,2015-W45,2015-W46,2015-W47
Traffic Business,NB Accy,Conversion,NB Accy Conversion,0.104338267,0.110993349,0.117763987,0.26082601,0.353731919,0.241773736,0.238759722,0.194257303,0.205460142,0.167927769,0.23306523,0.203949126,0.212327028,0.1445413,0.120219667,0.124659568,0.168982389,0.117281706,0.136853823,0.112948509,0.156020364,0.127247438,0.112317831,0.115531881,0.123315154,0.131564673,0.030699658,0.026957103,0.03510553,0.042479513,0.059443236,0.030920727,0.037098193,0.027815172,0.034935558,0.057357551,0.03902785,0.038540817,0.030678344,0.072364529,0.075802721,0.067321881,0.065333951,0.07277523,0.090801241,0.046073434,0.047684426,0.041255361,0.049353759,0.047798715,0.046595152,0.040067772
Traffic Business,NB Accy,AOS,NB Accy AOS,62.33583596,63.27088164,62.26025397,52.43754729,48.76905208,53.62645174,58.98946211,57.80793465,57.471463,59.80960276,56.01926085,58.44873469,59.53047733,61.76343933,64.16388711,63.22109963,59.44955863,63.27116633,64.70609672,65.4858481,59.87696979,66.59827013,64.01900642,66.02205549,63.36403953,63.06230889,65.37044951,62.85429755,65.88813444,63.09240737,59.35992205,67.12113166,62.38395519,65.28282882,64.91227062,58.73339387,62.19624935,65.58615941,62.22254627,62.5295409,62.20972315,64.07565673,63.45890163,61.20685167,60.69384558,64.23896146,66.26534179,65.06288456,65.52494965,62.41666486,63.84259246,63.47783167
Traffic Business,NB Accy,RPV/RPC,NB Accy RPV/RPC,5.382061443,5.811230316,6.067232487,11.31776089,14.27531862,10.72890573,11.65474424,9.292488965,9.771181583,8.311141601,10.80393862,9.864253146,10.45952332,7.387384009,6.383126231,6.521611269,8.312991311,6.140494722,7.327728709,6.120617016,7.73051359,7.012602846,5.950108493,6.311871255,6.465863795,6.865566913,1.660665866,1.402088559,1.914035539,2.217807652,2.919866635,1.717418818,1.915106414,1.502615848,1.876556862,2.787680149,2.008658328,2.091704638,1.579599313,3.744365436,3.902207082,3.569575352,3.430826239,3.68596219,4.560407859,2.449155368,2.614750438,2.221165645,2.676049748,2.468789287,2.461605728,2.104672467
Traffic Business,NB Accy,Number of Orders,NB Accy Number of Orders,513.9420708,577.856485,668.9513382,2597.999633,3558.085899,1521.298114,1524.143405,1187.693143,1253.348465,933.3677015,1372.04381,1142.782121,1070.611925,1350.117969,1282.731519,1277.610658,2021.070938,1211.248602,1299.487522,1008.094972,1488.093721,1225.905524,1055.316304,1181.567772,1177.441892,1233.281519,842.7210304,891.6456471,931.9820991,1209.118511,1698.638357,899.1543306,1332.081718,896.0042808,1067.61922,2152.788074,1394.344336,1254.701363,1135.928419,1619.152567,1620.897271,1396.82659,1373.925376,1625.774593,1824.887787,941.4096787,854.4182543,738.047378,872.1975829,933.6894554,828.2637035,743.6112349
Traffic Business,NB Accy,Order $,NB Accy Order $,26510.57848,30254.5797,34464.55388,112732.3867,143591.2543,67508.83843,74399.07118,56814.46856,59606.18586,46194.57041,63602.26753,55272.07863,52739.82539,69003.39134,68107.30236,66838.67285,99425.42091,63417.09961,69580.02214,54628.10702,73732.2258,67559.61983,55906.05195,64552.77621,61737.57773,64357.52548,45586.11165,46376.13134,50813.84147,63126.71868,83437.54073,49941.40507,68765.56574,48403.4476,57346.96402,104629.3729,71763.14764,68095.72006,58487.89493,83779.9813,83441.2893,74063.25694,72147.77502,82343.17711,91653.29158,50043.1244,46851.5763,39736.05992,47292.12416,48224.78051,43756.8843,39060.27284
Traffic Business,NB Accy,LIO,NB Accy LIO,1.553863963,1.553863963,1.553863963,1.553863963,1.553863963,1.553863963,1.553863963,1.553863963,1.553863963,1.553863963,1.553863963,1.553863963,1.553863963,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159,1.542564159
Traffic Business,NB Accy,ASP,NB Accy ASP,48.47943467,49.20663252,48.42065352,40.7813998,37.92836075,41.7060271,45.87691382,44.95802371,44.69634509,46.51474845,43.56694756,45.45638269,46.29766878,48.38614126,50.26667782,49.52808798,46.57342229,49.56731078,50.69145064,51.30231624,46.90826078,52.1737996,50.15317673,51.72238687,49.64006863,49.40368962,51.21191175,49.2407313,51.61747168,49.42726908,46.50320003,52.58341493,48.87226004,51.14326876,50.85296949,46.01237113,48.72520928,51.3809012,48.74581057,48.98631345,48.73576479,50.19755719,49.71438462,47.95010451,47.54821004,50.32549187,51.91297996,50.97096206,51.33294882,48.89788515,50.01497214,49.72921462
Traffic Business,NB Accy,Units,NB Accy Units,660.8370918,743.0195361,860.1511377,3340.560385,4575.058692,1956.115832,1959.774365,1527.159824,1611.580763,1200.143037,1764.201634,1469.412325,1376.61443,1723.38457,1637.367814,1630.831191,2579.835651,1546.122043,1658.756343,1286.802606,1899.506426,1564.831158,1347.079201,1508.235365,1502.968804,1574.246391,1075.707793,1138.15858,1189.646836,1543.403046,2168.260257,1147.743186,1700.361844,1143.722244,1362.7835,2747.968574,1779.838184,1601.588172,1449.978117,2066.799061,2069.026123,1783.006706,1753.774003,2075.251876,2329.41382,1201.680855,1090.638944,942.0950559,1113.333717,1191.826224,1057.253455,949.1971502
Traffic Business,NB Accy,PM,NB Accy PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic Business,NB Accy,PM%,NB Accy PM%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,NB Accy,Traffic,NB Accy Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deals,NB Accy,Conversion,NB Accy Conversion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
